tconst,parentTconst,seasonNumber,episodeNumber
tt10084894,tt10065264,1,4
tt10084936,tt10065264,1,5
tt10084948,tt10079382,1,1
tt10084954,tt10065264,1,6
tt10084962,tt10079382,1,2
tt10084988,tt10065264,1,7
tt10085068,tt10065264,1,8
tt10085098,tt10065264,1,9
tt10085108,tt10065264,1,10
tt10085124,tt10065264,1,11
tt10085148,tt10065264,1,12
tt10085158,tt10065264,1,13
tt10085242,tt10065264,1,14
tt10085256,tt10065264,1,15
tt10085270,tt10065264,1,16
tt10085280,tt10065264,1,17
tt10085292,tt10065264,1,18
tt10085306,tt10065264,1,19
tt10085322,tt10065264,1,20
tt10085404,tt10066166,1,3
tt10085444,tt10078710,1,1
tt10085462,tt10078710,1,2
tt10085484,tt10078710,1,3
tt10085522,tt10078710,1,4
tt10085530,tt10078710,1,5
tt10085546,tt10078710,1,6
tt10085570,tt10078710,1,7
tt10085616,tt10065264,2,1
tt10085644,tt10078710,1,8
tt10085698,tt10065264,2,2
tt10085748,tt10078710,1,9
tt10085768,tt10065264,2,3
tt10085800,tt10065264,2,4
tt10085814,tt10078710,1,10
tt10085870,tt10078710,1,11
tt10085872,tt10065264,2,5
tt10085914,tt10065264,2,6
tt10085932,tt10078710,1,12
tt10085960,tt10078710,2,1
tt10085962,tt10065264,2,7
tt10086102,tt10065264,2,8
tt10086116,tt10078710,2,2
tt10086118,tt10065264,2,9
tt10086120,tt10078710,2,3
tt10086170,tt10065264,2,10
tt10086202,tt10065264,2,11
tt10086320,tt10065264,2,12
tt10086338,tt10065264,2,13
tt10086378,tt10065264,2,14
tt10086414,tt10065264,2,15
tt10086436,tt10065264,2,16
tt10086458,tt10065264,2,17
tt10086474,tt10065264,2,18
tt10086696,tt10065264,2,19
tt10086742,tt10065264,2,20
tt10086762,tt10065264,2,21
tt10086772,tt10065264,2,22
tt10086786,tt10065264,2,23
tt10086798,tt10065264,2,24
tt10086822,tt10065264,2,25
tt10086856,tt10065264,2,26
tt10086864,tt10065264,2,27
tt10087040,tt10044638,1,1
tt10087050,tt10044638,1,2
